group,indicator,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10
pi_rtyler,CPU 2018 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,881.911,0,2110.19,16046.6,0,0,0,12.8711,3840.04,0,0,0
pi_bennettj,CPU 2018 Usage,0,0,0,0,0,0,193.411,0,0,0,7139.76,871.431,0,2292.89,0,914.187,0,754.173,53.3778,1130.15,169.449,121.542,0,736.564,71.4889,3136.81,272.538,1524.76,872.129,1550.31,2347.58,419.791,8.48889,0.00527778
pi_bpeercy,CPU 2018 Usage,1724.2,0,6.615,0,0.00277778,0.543056,0,74.8853,2422.45,4345.69,72.14,0,0.00194444,2238.96,10002.2,0,0,1780.3,36.97,0,4.18,11.0719,31.16,12.91,2836.29,1.10667,2.46167,0,0.0455556,0,2.02,1085.7,6867.79,4609.93
cybertrn,CPU 2018 Usage,775.88,36.4178,0.105278,9.68917,86.3703,0.0247222,0,0.183889,1.48361,10.6817,2.97222,0,0.923333,10826.9,1171.29,8.10278,48.2203,13.0572,181.42,26793.5,0,0,0,0.00166667,0.09,1292.3,0,0.00333333,0.0680556,1996.29,1645.77,1023.59,148.393,64.3711
pi_adali,CPU 2018 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2718.16,712.577,66.2467,262.918,85.9797,0,0,1787.41,0,9915.53,4097.33,707.597,12543.2,7898.55,9352.25,5144.08
pi_jianwu,CPU 2018 Usage,0,0,0,0,567.62,129.37,3220.64,1.56667,13.7939,1739.96,4188.28,0.000555556,111.832,5.72,2561.81,479.81,3240.02,138.299,39.1289,214.327,547.627,163.126,777.404,4397.16,27.8347,2166.03,26103.7,3938.38,1373.57,793.073,0,14.8067,0,2.13
pi_oates,CPU 2018 Usage,0,0,0,0,0,0.00277778,0,0.593611,8.08194,5.39,33.2508,0,0.0511111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2900.83,1051.68,73644.6,0,0,0,0
student,CPU 2018 Usage,0,0,0,0,0,0,0,0,7.60639,14.72,0.33,0,0,0,0,0,0,0,0,0.00194444,43.575,11177.9,39573.2,15676.6,17371.4,0,0,0,0,0,0.0477778,0,14.4056,85.3367
pi_ferraro,CPU 2018 Usage,11.9,0,0,0,79316.1,0,318.161,0,1258.55,0,0,0,603.82,36.8175,0,0.00694444,0.00361111,0,3.64944,0,0,0,0,1812.41,1488.19,0,17.7189,0,0,0,0,0,0,0
pi_pwzhai,CPU 2018 Usage,0,0,0,0,0,0,14162.7,11875.4,3059.12,25540.7,4643.55,272.98,0.0822222,299.24,0.28,0,4486.16,0,0,0,0,0,0,0,0,4.15056,0,0,0,9921,5726.56,4152.93,2451.41,203.774
pi_zzbatmos,CPU 2018 Usage,39529.5,3859.61,0.563333,110.652,7.30056,116.666,105.866,703.309,462.598,735.318,12373.2,32676.8,15602.2,2407.36,6555.77,1986.19,7464.55,2069.43,3738.55,428.906,418.296,218.571,13692.4,8662.52,13053.8,1825.98,9382.66,10563.9,7141.38,2475.96,2938.6,3008.66,5045.49,3864.83
pi_boot,CPU 2018 Usage,0,0,0,0,0,0,0,0,0,0,101109,135644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pi_strow,CPU 2018 Usage,0,440.611,14080.2,600.812,358.075,16732.1,11986.6,17543.4,3683.39,1494.6,11064.4,1469.72,9111,20071.4,15868.8,2693.3,768.503,8240.95,6975.23,12253.7,5060.61,1553.45,12160.4,2618.34,5433.42,1751.64,2639.27,16063.4,24229.3,4288.91,23363.1,17010.8,19162.3,7682.78
pi_gobbert,CPU 2018 Usage,24591.5,45641.2,75563.6,31412.3,38898.4,4811.34,3065.95,26.0389,45.0728,5760.68,16032.8,22357.4,10231.5,10535.3,12710.7,8823.37,56.3075,74.86,1684.65,0,8.57722,1167.94,287.381,864.98,35.02,2640.48,37906,74844.9,14246.4,24818.4,19139,4841.19,792.518,6459.26
pi_lobo,CPU 2018 Usage,0,0,0,185.511,221.607,80960.4,53362.4,4897.74,7486.08,619.601,0,0,735.72,2829.68,1869.72,3735.2,1069.2,26738.9,2529.56,7801.89,10434,4765.39,28530.9,20737.4,6125.14,1243.4,13145,6726.14,16715.5,36863.2,37129,12647.5,43783.4,96355.4
total,CPU 2018 Usage,66639.29,50000.90408,89651.11972,32358.89832,121367.3481,102776.7366,86437.80997,35234.48069,18457.63414,42275.95487,172311.0652,197167.6654,37372.0805,51665.02794,50740.62667,18664.25363,17163.41384,40078.6426,19468.29981,49511.92896,16827.24256,21623.31132,103793.1896,55891.72372,48569.65443,32362.55226,89471.22552,131860.2879,91438.58708,157854.3029,110496.7531,53651.08253,97720.24019,127252.1339
cybertrn,GPU 2013 Usage,0,0,0,0,0,60.9306,1.75889,0,0,0,0,0,0,0,0.00111111,0,0,0.00111111,0,1.56833,0,0,0,0,0,0.0566667,0,0,1.38444,34.7869,11755.2,2542.24,0,0.260556
hpcreu,GPU 2013 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347222,0.426667,0,0,0,0,0,0,0,0,0,0
pi_adali,GPU 2013 Usage,0,0,56.5961,690.401,3.24139,70.4522,167.935,850.72,0,0,0,0,0,0,0,0,0,259.714,107.212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pi_bailey,GPU 2013 Usage,0,0,0,0,0.00111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
